"Relative","Count","SrcBytes"
"BLDA\CharFace\CH0225","20","482218"
"BLDA\CharFace\CH0226","21","596082"
"BLDA\CharFace\CH0227","28","953980"
"BLDA\CharFace\CH0228","17","581832"
"BLDA\CharFace\CH0229","22","698562"
"BLDA\CharFace\CH0230","22","700236"
"BLDA\CharFace\CH0231","18","551168"
"BLDA\CharFace\CH0232","16","520136"
"BLDA\CharFace\CH0233","18","437866"
"BLDA\CharFace\CH0234","15","435540"
"BLDA\CharFace\CH0235","16","416688"
"BLDA\CharFace\CH0236","16","557372"
"BLDA\CharFace\CH0238","18","496208"
"BLDA\CharFace\CH0239","12","296208"
"BLDA\CharFace\CH0240","22","809484"
"BLDA\CharFace\CH0241","50","1452716"
"BLDA\CharFace\CH0242","20","653690"
"BLDA\CharFace\CH0243","23","677094"
"BLDA\CharFace\CH0244","15","442798"
"BLDA\CharFace\CH0245","23","728230"
"BLDA\CharFace\CH0246","15","490186"
"BLDA\CharFace\CH0247","15","387140"
"BLDA\CharFace\CH0248","14","394658"
"BLDA\CharFace\CH0249","15","483908"
"BLDA\CharFace\CH0250","22","673258"
"BLDA\CharFace\CH0251","17","474608"
"BLDA\CharFace\CH0252","16","341004"
"BLDA\CharFace\CH0253","20","672582"
"BLDA\CharFace\CH0254","15","367974"
"BLDA\CharFace\CH0255","14","438786"
"BLDA\CharFace\CH0256","19","662278"
"BLDA\CharFace\CH0257","13","372300"
"BLDA\CharFace\CH0258","85","2504744"
"BLDA\CharFace\CH0259","39","1035180"
"BLDA\CharFace\CH0260","29","995692"
"BLDA\CharFace\CH0261","18","714688"
"BLDA\CharFace\CH0262","17","572894"
"BLDA\CharFace\CH0263","12","449264"
"BLDA\CharFace\CH0264","23","627144"
"BLDA\CharFace\CH0265","20","507232"
"BLDA\CharFace\CH0266","37","1169632"
"BLDA\CharFace\CH0267","35","983412"
"BLDA\CharFace\CH0268","13","403686"
"BLDA\CharFace\CH0269","21","793822"
"BLDA\CharFace\CH0270","16","452402"
"BLDA\CharFace\CH0271","15","464556"
"BLDA\CharFace\CH0272","24","634212"
"BLDA\CharFace\CH0273","37","915960"
"BLDA\CharFace\CH0274","45","1357926"
"BLDA\CharFace\CH0275","33","1102202"
"BLDA\CharFace\CH0276","41","1146298"
"BLDA\CharFace\CH0277","27","746252"
"BLDA\CharFace\CH0278","33","982684"
"BLDA\CharFace\CH0279","19","547420"
"BLDA\CharFace\CH0280","28","950350"
"BLDA\CharFace\CH0283","27","771846"
"BLDA\CharFace\CH0284","24","694910"
"BLDA\CharFace\CH0285","14","383480"
"BLDA\CharFace\CH0286","16","500364"
"BLDA\CharFace\CH0287","15","460766"
"BLDA\CharFace\CH0288","31","802466"
"BLDA\CharFace\CH0289","24","384620"
"BLDA\CharFace\CH0290","22","668980"
"BLDA\CharFace\CH0291","16","502212"
"BLDA\CharFace\CH0292","28","907490"
"BLDA\CharFace\CH0293","47","1531572"
"BLDA\CharFace\CH0294","32","733658"
"BLDA\CharFace\CH0295","19","628188"
"BLDA\CharFace\CH0296","17","455798"
"BLDA\CharFace\CH0297","18","497388"
"BLDA\CharFace\CH0298","17","481772"
"BLDA\CharFace\CH0300","28","651378"
